review_priority,golden_example_id,customer_message,conversation_context,suggested_intent,intent_confidence,second_best_intent,second_best_score,intent_margin,suggested_should_escalate,suggested_difficulty,human_intent,human_should_escalate,human_difficulty,human_notes
REVIEW,3,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,"AmazonHelp: @429613 Plot twist: Marcy is delivering it. 📦 ^ST
Customer: @AmazonHelp @429613 strong tweet",delivery_status,0.45796108,delivery_problem,0.43965855,0.01830253,False,hard,delivery_status,False,hard,
REVIEW,8,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",AmazonHelp: @809464 Hola Johan. ¡Se ven buenísimos! ¡Que los disfrutes mucho! ^JJ,returns_replacements,0.30767933,delivery_status,0.27860498,0.029074341,False,hard,returns_replacements,False,hard,
REVIEW,9,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,"AmazonHelp: @251156 Diane, I'm making sure this fine customer receives merchandise for that quirky town, Twin Peaks. Perhaps I should increase my coffee consumption for a guaranteed successful arrival. ^FD
Customer: @AmazonHelp Aces https://t.co/7SdlsTWuFx
Customer: @AmazonHelp @251156 That’s pretty fantastic. In-character customer service.",delivery_problem,0.38049483,returns_replacements,0.35584524,0.02464959,False,hard,delivery_problem,False,hard,
REVIEW,10,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",AmazonHelp: @750668 I'm sorry about this. We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: https://t.co/hApLpMlfHN We'd like to help! ^ZW,delivery_problem,0.6062437,delivery_status,0.5786725,0.027571201,False,hard,delivery_problem,False,hard,
REVIEW,11,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...","AmazonHelp: @153837 Bonjour, je suis sincèrement désolée pour le désagrément causé par cela. Afin de mieux gérer la situation, pouvez-vous me confirmer si vous avez reçu un email vous indiquant la démarche à suivre pour débloquer votre compte ? ^SB",returns_replacements,0.33051655,delivery_problem,0.3284191,0.0020974576,False,hard,returns_replacements,False,hard,
REVIEW,13,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,AmazonHelp: @794734 I'm sorry to see this! We would love to record your feedback and help you with your return. Please reach us via phone or chat here: https://t.co/qy3J24VGxb ^JS,refund_issue,0.46001256,delivery_problem,0.44687402,0.013138533,False,hard,refund_issue,False,hard,
REVIEW,14,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",AmazonHelp: @780750 ¡Hola ZombieQueen! ¡Nosotros también te amamos!  😍✨  Cuéntanos ¿De cuáles productos hemos sido complices de tus compras? 😄 ^ PC https://t.co/aFIotsgSm8,returns_replacements,0.3655321,delivery_status,0.3646261,0.0009059906,False,hard,returns_replacements,False,hard,
REVIEW,16,Hey @115850 when will be @118062 's reputation magazines available in Stock?,AmazonHelp: @663947 We do not have an update at the moment. Kindly stay tuned to our website for further details. ^PB,preorder_issue,0.3400848,prime_membership,0.31388935,0.026195437,False,hard,preorder_issue,False,hard,
REVIEW,17,"Caro @120540 , io ti voglio bene e lo puoi capire anche dallo  storico dei miei ordini... 

PERÒ...

NON PUOI SCRIVERE ""SPEDIZIONE 1 GIORNO"" E POI ME LO FAI ARRIVARE LA SETTIMANA DOPO",AmazonHelp: @802843 può capitare che la spedizione 1 giorno non sia disponibile per il tuo ordine perché l'articolo non rispetta alcuni criteri oppure perché il tuo CAP non è raggiungibile con questo tipo di spedizione. Per info clicca qui: https://t.co/1O6R5T4xB1. ^BC,delivery_status,0.20912968,refund_issue,0.16977999,0.03934969,False,hard,delivery_status,False,hard,
REVIEW,19,Habe von meinen Freunden einfach n Amazon Echo bekommen. Richtig NICE,AmazonHelp: @406450 #Läuftbeidir ^MI,delivery_status,0.34616062,returns_replacements,0.32591882,0.020241797,False,hard,delivery_status,False,hard,
REVIEW,20,"Listening to Winter Song by Sara Bareilles &amp; Ingrid Michaelson, on the album: The Hotel Café presents... Winter Songs - Thanks @115833","AmazonHelp: @263293 I'm so glad we could help you with such a fantastic music choice, Patrick! 🎶 ^FD",refund_issue,0.20438442,returns_replacements,0.19369857,0.010685846,False,hard,refund_issue,False,hard,
