golden_example_id,rank,query,customer_tweet_id,conversation_root,historical_customer_text,brand_response,dense_score
1,1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1197951,1197952,@AmazonHelp I followed all steps except waiting 36 hrs... I do not believe the package was delivered at all. what happens after 36 hrs?,"@401470 We suggest reaching us directly via phone or chat after waiting. Please, keep us updated! We want to make sure it arrives.^EB",0.8374844193458557
1,2,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",162186,162182,@AmazonHelp My package still hasn’t arrived. Now what?,@153437 Could you please contact us so that we can look into this further for you? You can reach us here: https://t.co/CYqkdUakWJ. ^PJ,0.8284657001495361
1,3,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",822681,822681,"@AmazonHelp - My package is says delivered, but I haven't received it, I have tried contacting the seller but to no avail. What should I do?","@315965 I'm sorry you haven't received your package! Just to clarify, did you message the seller here: https://t.co/7ZQLFN2hX3? ^WJ",0.826181173324585
1,4,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1693663,1693663,@AmazonHelp what do I do if I never received a package?,@385715 Please contact us via Phone or Chat here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR,0.8243288993835449
1,5,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1179722,1179722,@AmazonHelp i still have not received my package after waiting the rare 36 hours. Id like instructions on how to follow up on this.,"@253648 We will need to take a closer look at this. You can call, chat, or e-mail us here: https://t.co/hApLpMlfHN ^LJ",0.8221111297607422
2,1,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",1041710,1041703,"@116875 Si este, mi pedido iba a llegar ayer y me mandaron mail de que nadie estaba en la casa. COSA QUE SI. Y según mejor llegaba hoy y heme aqui esperando mi paquete.","@628330 Hola, Carolina. Lamento el contratiempo. ¿Cuál es el estado del pedido que se indica en ""Mis Pedidos""? ^JQ",0.7635245323181152
2,2,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",1304696,1304696,"@116875 tu asesor en lugar de tratar de hacer algo para q un paquete llegue a mi casa en tiempo, prefirio recomendar comprar en otro lado","@424877 Lamento lo sucedido, Artur. Me gustaría verificar y reportar tu experiencia en SAC. Escríbenos acá: https://t.co/lFwwV5iyJG ^JQ",0.7202472686767578
2,3,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",885614,885614,Sigo esperando un pedido de @116928 que me trae Correos Express pero me da que no va a llegar...,"@330286 Lamento el inconveniente, me podrías informar ¿Cuál es la fecha estimada de entrega de tu pedido? ^AZ",0.7148550748825073
2,4,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",2701557,2701557,@116875 todavia no llega mi pedido para el día de hoy :(,"@758867 Hola, Tlayoache Verde. Lamentamos mucho escuchar eso, ¿podrías por favor indicarnos si tu pedido fue gestionado por Amazon directamente o por un vendedor externo y si recibiste una fecha estimada o garantizada de entrega? ^CB",0.7045484781265259
2,5,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",697978,697978,"@116875 Hola Amazon! Llevo dos semanas tratando de tratando de realizar una compra y no e podido, además de que tardan en responderme","@286522 Hola Monse, ¿recibes algún tipo de mensaje de error al intentar realizar tu compra? ^LG",0.7030068635940552
