customer_tweet_id,conversation_root,historical_customer_text,brand_response
1197951,1197952,@AmazonHelp I followed all steps except waiting 36 hrs... I do not believe the package was delivered at all. what happens after 36 hrs?,"@401470 We suggest reaching us directly via phone or chat after waiting. Please, keep us updated! We want to make sure it arrives.^EB"
162186,162182,@AmazonHelp My package still hasn’t arrived. Now what?,@153437 Could you please contact us so that we can look into this further for you? You can reach us here: https://t.co/CYqkdUakWJ. ^PJ
822681,822681,"@AmazonHelp - My package is says delivered, but I haven't received it, I have tried contacting the seller but to no avail. What should I do?","@315965 I'm sorry you haven't received your package! Just to clarify, did you message the seller here: https://t.co/7ZQLFN2hX3? ^WJ"
1693663,1693663,@AmazonHelp what do I do if I never received a package?,@385715 Please contact us via Phone or Chat here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR
1179722,1179722,@AmazonHelp i still have not received my package after waiting the rare 36 hours. Id like instructions on how to follow up on this.,"@253648 We will need to take a closer look at this. You can call, chat, or e-mail us here: https://t.co/hApLpMlfHN ^LJ"
1041710,1041703,"@116875 Si este, mi pedido iba a llegar ayer y me mandaron mail de que nadie estaba en la casa. COSA QUE SI. Y según mejor llegaba hoy y heme aqui esperando mi paquete.","@628330 Hola, Carolina. Lamento el contratiempo. ¿Cuál es el estado del pedido que se indica en ""Mis Pedidos""? ^JQ"
1304696,1304696,"@116875 tu asesor en lugar de tratar de hacer algo para q un paquete llegue a mi casa en tiempo, prefirio recomendar comprar en otro lado","@424877 Lamento lo sucedido, Artur. Me gustaría verificar y reportar tu experiencia en SAC. Escríbenos acá: https://t.co/lFwwV5iyJG ^JQ"
885614,885614,Sigo esperando un pedido de @116928 que me trae Correos Express pero me da que no va a llegar...,"@330286 Lamento el inconveniente, me podrías informar ¿Cuál es la fecha estimada de entrega de tu pedido? ^AZ"
2701557,2701557,@116875 todavia no llega mi pedido para el día de hoy :(,"@758867 Hola, Tlayoache Verde. Lamentamos mucho escuchar eso, ¿podrías por favor indicarnos si tu pedido fue gestionado por Amazon directamente o por un vendedor externo y si recibiste una fecha estimada o garantizada de entrega? ^CB"
697978,697978,"@116875 Hola Amazon! Llevo dos semanas tratando de tratando de realizar una compra y no e podido, además de que tardan en responderme","@286522 Hola Monse, ¿recibes algún tipo de mensaje de error al intentar realizar tu compra? ^LG"
2499167,2499167,"@115830 What’s happening to your delivery service,my last two orders have been left on the doorstep in plain sight and today I received one of your new style missed delivery notifications! https://t.co/D3TCpTj1XX","@713069 I apologize about poor experience with us! Have you set a safe place for our drivers to leave your package, you can find more information about that here: https://t.co/F45DdMuOyr ^LS"
390354,390354,"@115850 I was to receive my order today, Also got a message from your end confirming that order is out for delivery but haven’t recd yet","@208417 Something must've gone wrong, Megh. Please report this to our support team here: https://t.co/vlvfJr4nN9 ^JC"
433004,433004,"@115850 Trying to get my order delivered since last three days. same story everyday, you message me that your order is out for delivery,",@217987 I'm sorry about the delay in the delivery. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^MA
1801019,1801019,Damn @115821. My order has been “out for delivery” since 2pm yesterday with the promise of having it to me by 8pm yesterday. Still not here.,@541157 I'm sorry you haven't received your order yet! Who is the listed carrier for this: https://t.co/Y5jpI9gRhE? ^JP
257688,257688,Still waiting for my @115830 delivery to arrive... confusing notifications from Amazon however.,@177297 Sorry for the long wait! What is your current order status showing when you review your details here: https://t.co/aaDyEz1VgE ^WM
2477490,2477490,@AmazonHelp Why is your delivery so useless?,@708135 That's not the impression we'd like to leave you with. Would you mind telling us more about what's going on? Please don't include any account details. ^RA
1503961,1503961,@AmazonHelp what’s the point of delivery pics? I was home and stood at the door when the driver pulled up. He still placed the package down and took a picture of it...,@469072 Hi Renee - some carriers use it as proof of delivery ^TD
776106,776115,@AmazonHelp Fudging when things are actually delivered isn't smart these days. Cameras everywhere. Where is the data?,"@305445 Hi Jennifer? Are you currently experiencing an issue with an order? Without providing account info, can you tell us more? ^WT"
1474132,1474132,@AmazonHelp how do I opt into photo delivery? I hit opt out to see what happens but I actually want it. #prime #amazon,@462199 Thanks for reaching out to us! We'd love to help you set that up so please reach out to us here: https://t.co/hApLpMlfHN ^DD
1396668,1396668,@AmazonHelp why do you tell people packages have been delivered before they are delivered?,@444783 Oh no! Do you have an order that's showing as delivered but you haven't yet received it? ^LB
1544060,1544064,@115821 I never thought this day would come. 😢,"@478302 I'm so sorry! When this happens, is it a carrier in particular? Check under tracking info: https://t.co/Y5jpI9gRhE ^WT"
2569213,2569216,@115821 Right now I just hoping it arrives by the end of the year.,@728698 Oh no! Was the item being shipped from Amazon or a seller directly? Find it here:https://t.co/Y5jpI9gRhE We want to help!^ZW
2277146,2277147,@144779 is it coming on @119625 also?,"@207104 Currently, we don't have any information about this. If and when available, you'll be able to see it on our website. ^MP"
703810,703810,@115821 I'm very disappointed! #NOTHAPPY,"@157520 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more information? ^AC"
714188,714188,@117093 is pretty freakin cool. I can't wait til they expand their inventory just a little bit more 😁 I'm hooked!,@290841 You could say we reeled you in! 😉 Keep an eye out on our site. We're constantly expanding our inventory. ^JM
