golden_example_id,rank,query,customer_tweet_id,conversation_root,historical_customer_text,brand_response,bm25_score
1,1,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1197951,1197952,@AmazonHelp I followed all steps except waiting 36 hrs... I do not believe the package was delivered at all. what happens after 36 hrs?,"@401470 We suggest reaching us directly via phone or chat after waiting. Please, keep us updated! We want to make sure it arrives.^EB",34.7843294350417
1,2,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1339589,1339590,@AmazonHelp It says package was delivered but I didn't get it!??? https://t.co/kwJ8hpHyli,"@432459 Sorry about the incorrect update. Please connect with our support team here: https://t.co/TK4yevTaND, we'll check it. ^NR",33.071890528021484
1,3,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1298456,1298456,@AmazonHelp My package says it was delivered Monday but I never received it.,@423457 I'm sorry to hear this! Have you had a chance to report this to our Customer Support team: https://t.co/hApLpMlfHN? ^ME,32.84669700075087
1,4,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",2142871,2142871,@AmazonHelp i received a package but it was not what I ordered. A completely different item. What can i do to get my right order?!,"@344929 I'm so sorry you received the wrong item, Karen! Please find the avail refund/replace options here: https://t.co/nOHkembwdP ^WJ",31.851503717716767
1,5,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1399380,1399380,"@AmazonHelp when tracking says a package was delivered but you didn't get it, what do you do?","@445392 If an order is marked as delivered, but isn't received, please follow the steps shown here: https://t.co/jvb1Vhil81 ^GR",30.911385570680526
2,1,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",402569,402569,Me: No puedo estar gastando en pendejadas... Also me: Mira un case barato para el iPhone en @116875 https://t.co/aPRTKPNKsO,"@211236 A veces podemos dejarnos caer en la tentación. Además, puede salvarle la vida a tu teléfono. 😉📱 ^KS",37.39447969295193
2,2,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",262149,262150,@116875 Hola @116875 estoy teniendo un problema para hacer una devolución. @178440 no me está ayudando. ¿A dónde puedo llamar?,"@178439 Lamento el inconveniente, Ricardo. ¿Tu pedido fue enviado por Amazon o un vendedor en nuestra página? ^JQ",35.98761586156484
2,3,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",1304696,1304696,"@116875 tu asesor en lugar de tratar de hacer algo para q un paquete llegue a mi casa en tiempo, prefirio recomendar comprar en otro lado","@424877 Lamento lo sucedido, Artur. Me gustaría verificar y reportar tu experiencia en SAC. Escríbenos acá: https://t.co/lFwwV5iyJG ^JQ",35.70980332971981
2,4,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",1499824,1499824,No compréis nunca un @117634 en @116928 Menuda atención al cliente más nefasta para un producto en garantía... da igual ser Prime!,"@468211 Hola Mery, ¿qué ha sucedido? ¿Cómo podemos ayudarte? ^LG",34.75060397541531
2,5,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",1748111,1748111,@116875 como puedo cancelar un pedido de un libro para Kindle? Es una preventa,"@526967 Hola Guillermo, por favor, entra en contacto con Soporte al Cliente para que puedan darte asistencia: https://t.co/beR78zMMYB. ^DA",34.35699901621073
