golden_example_id,golden_intent,customer_message,rank,retrieval_score,retrieved_customer_text,retrieved_brand_response,retrieved_conversation_root,retrieved_customer_created_at
1,,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",1,32.20677722910863,@AmazonHelp I followed all steps except waiting 36 hrs... I do not believe the package was delivered at all. what happens after 36 hrs?,"@401470 We suggest reaching us directly via phone or chat after waiting. Please, keep us updated! We want to make sure it arrives.^EB",1197952,2017-10-25 03:42:27+00:00
1,,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",2,32.15510473019996,@115850 the courier service in my area is horrible.I didn't get my package and suddenly received the email stating it was returned.worse,"@385780 We regret for the inconvenience in delivering this order, It is never our intention to cause inconvenience to 1/2 ^MJ",2337919,2017-10-20 05:54:32+00:00
1,,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",3,32.15510473019996,@115850 the courier service in my area is horrible.I didn't get my package and suddenly received the email stating it was returned.worse,@385780 our valued customer. Have you reported this to our support team here: https://t.co/vlvfJr4nN9? 2/2 ^MJ,2337919,2017-10-20 05:54:32+00:00
1,,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",4,30.769282480854447,@AmazonHelp It says package was delivered but I didn't get it!??? https://t.co/kwJ8hpHyli,"@432459 Sorry about the incorrect update. Please connect with our support team here: https://t.co/TK4yevTaND, we'll check it. ^NR",1339590,2017-10-27 16:00:36+00:00
1,,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",5,30.040849498736417,@115850 I didn't received my package but in app it showing package was delivered https://t.co/WUuva3geeo,@753794 Missing orders can be found by following the steps mentioned here: https://t.co/N3tczthlHg. (1/2),2678824,2017-10-31 14:26:50+00:00
2,,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",1,36.470087564751175,No compréis nunca un @117634 en @116928 Menuda atención al cliente más nefasta para un producto en garantía... da igual ser Prime!,"@468211 Hola Mery, ¿qué ha sucedido? ¿Cómo podemos ayudarte? ^LG",1499824,2017-11-03 14:59:34+00:00
2,,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",2,34.807223847613635,@AmazonHelp Abriré un chat en cuanto llegue a casa. Gracias.,"@507569 Con gusto, Raül. No dudes en contactar si necesitas asistencia adicional. ^LG",1666025,2017-10-17 15:33:49+00:00
2,,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",3,34.717152531298275,"Me: No puedo estar gastando en pendejadas...

Also me: Mira un case barato para el iPhone en @116875 https://t.co/aPRTKPNKsO","@211236 A veces podemos dejarnos caer en la tentación. Además, puede salvarle la vida a tu teléfono. 😉📱 ^KS",402569,2017-10-09 20:21:24+00:00
2,,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",4,34.00435941350446,"@AmazonHelp Es posible que si tenga un error en el número de teléfono y en el código postal, pero no se como corregirlos o enviarselos",@526275 ¿Ya mandaste las informaciones que te solicitaron en el correo Gustavo? ^JJ,1745350,2017-10-17 20:32:45+00:00
2,,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",5,33.980630415673765,"Estoy un poco enfadada con @116928 porque hice un pedido el día 16, pagando casi cuatro euros para el envío rápido y aún no se han molestado en enviármelo ni nada. Está en stand by.","@764173 Hola Loreto, lamentamos las molestias. ¿Podrías confirmarnos si has recibido un correo indicando la fecha estimada de entrega? ^DA",2724527,2017-11-20 11:57:21+00:00
3,,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,1,18.454013617698596,@115821 why do my orders disappear when an item goes out of stock but I don’t get a notification about it so I can order something else?,@672085 I'm sorry you didn't receive any notifications! Did you receive an e-mail from Amazon about your order? ^DD,2318469,2017-10-19 23:21:38+00:00
3,,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,2,16.528574524190738,@AmazonHelp I have the delivery set as 'when out deliver to reception signposted' but I just get notification of unable to deliver!,@207240 Apologies - are these instructions in your account for every order ? Pls see: https://t.co/8ch8QTGeMS  ^TD,385364,2017-10-09 12:06:53+00:00
3,,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,3,16.471229925707476,"@690257 @115821 My notification today didn't include a picture. And, the package wasn't on my porch when I went outside to get it. :(","@607009 I'm sorry you haven't received your order yet! We recommend taking a look over these tips: https://t.co/P89dgSTLEx. If you still can't find it, please let us know which carrier is shown under tracking details here: https://t.co/LjFvo9J1qc ^MB",2795409,2017-11-21 22:00:50+00:00
3,,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,4,16.449733252856422,When you pay for Saturday delivery on @115821 and get a @115817 notification that delivery date has been changed to Monday... 😒,@189394 I'm sorry we weren't able to get your package to you today! Please phone us here: https://t.co/hApLpM3Ejd to report this. ^LB,1558008,2017-11-04 12:53:30+00:00
3,,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,5,15.257801212791579,My orders are always late when @115821 uses their delivery service. Please go back to #UPS! https://t.co/VNFCwuByXF,"@417132 I'm sorry for the delivery issues. We'd like to look into this, pls send us more info here: https://t.co/4sEB7lVF0Z ^CO",1268992,2017-10-26 13:42:58+00:00
4,,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,1,37.9497561980298,@AmazonHelp your customer service is shit and your people are rude as fuck lmfao,@343475 I'm sorry you've had a poor experience. We'd like to help if we can. Can you tell us what you were contacting us about? ^AL,942688,2017-10-21 16:19:29+00:00
4,,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,2,33.830751960639255,When you get amazon prime and have a “guaranteed” delivery date if November 8th and now it says the 11th.... what the fuck is that shit @115821,@648484 I'm sorry to hear about the delay. Was there any further information provided on the delay via email or on your order tracking: https://t.co/Y5jpI9gRhE ? ^MI,2220201,2017-11-10 12:34:37+00:00
