golden_example_id,customer_message,draft_response,grounded,evidence_quality,actionability,should_escalate,needs_more_information,historical_evidence,historical_brand_responses,human_factuality,human_grounding,human_helpfulness,human_overall_quality,human_should_auto_answer,human_notes
3,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,I'm sorry you haven't received your order yet! Could you please provide the carrier information so we can look into this further?,True,strong,high,True,True,"@115830 What’s happening to your delivery service,my last two orders have been left on the doorstep in plain sight and today I received one of your new style missed delivery notifications! https://t.co/D3TCpTj1XX || @115850 I was to receive my order today, Also got a message from your end confirming that order is out for delivery but haven’t recd yet || @115850 Trying to get my order delivered since last three days. same story everyday, you message me that your order is out for delivery, || Damn @115821. My order has been “out for delivery” since 2pm yesterday with the promise of having it to me by 8pm yesterday. Still not here. || Still waiting for my @115830 delivery to arrive... confusing notifications from Amazon however.","@713069 I apologize about poor experience with us! Have you set a safe place for our drivers to leave your package, you can find more information about that here: https://t.co/F45DdMuOyr ^LS || @208417 Something must've gone wrong, Megh. Please report this to our support team here: https://t.co/vlvfJr4nN9 ^JC || @217987 I'm sorry about the delay in the delivery. Have you reported this to our support team here: https://t.co/vlvfJr4nN9 ? ^MA || @541157 I'm sorry you haven't received your order yet! Who is the listed carrier for this: https://t.co/Y5jpI9gRhE? ^JP || @177297 Sorry for the long wait! What is your current order status showing when you review your details here: https://t.co/aaDyEz1VgE ^WM",2.0,2.0,2.0,2.0,1.0,
7,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????","We're sorry to hear that you're having trouble accessing your account. Please check your inbox for any emails from our account specialist team. If you haven't received one, please contact us directly so we can assist you further.",True,strong,high,True,True,"@115850 my account has been lock please unlock || Hey @115821 you locked me out of my account after I bought something and now won’t let me log back in, what gives?!? || @115830 not best pleased to find myself locked out of ALL my accounts after an apparently successful password change - why always me??? || @115821 why won't you let me log into my account || @115821 my account is locked i've changed my passwd and it keeps locking me out","@497039 You must have received an email correspondence from our account specialist team. Please revert on the same. ^HK || @511742 Sorry to hear that! Have you received any recent emails from our accounts team providing clarification or instructions? ^CH || @158246 Have you received an email from the Account Specialist team?^CD || @733791 Oh no! We'd like to help, Rachel! Could tell us more about the problem with logging into your account? ^HM || @501120 I'm so sorry for the experience! Please reach out to us so that we can help! You can do so here: https://t.co/g4ZqwGKZp7 ^MH",2.0,2.0,2.0,2.0,0.0,
13,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,I'm sorry to hear about your experience with the delivery driver. Could you please provide more details about the issue so we can assist you further? You can contact us via phone or chat here: https://t.co/JzP7hlA23B. ^RL,True,strong,high,True,True,"@115830 you have really poor customer services, not happy at all!!! || Really pissed @115821 right now. Paid for 2 day shipping and item never arrived. Now wont be delivered until Friday and I dobt see them offering to refund shipping charge 😠 || Yet again @115830 screwed up the delivery despite promising last time was the last screw up! Marked delivered but not here! || @115830 disgusted with your customer services!!! Wrong item sent twice and cannot get a satisfactory resolution! || @115830 a few bad delivery drivers really spoiling the Amazon brand 😢 ...please be more selective in your delivery services","@473704 I'm so sorry to hear that, James. Without providing any personal/account info, can you tell us more about your issue? ^BG || @279155 I'm sorry to hear your shipment hasn't arrived as expected. We're happy to review the order and any available options with you directly via phone or chat here: https://t.co/76UvvbLj62 ^JR || @259988 Sorry to hear this! Please get in touch here: https://t.co/JzP7hlA23B and we'll investigate this for you. ^RL || @689139 Sorry to hear about the issue with the incorrect item. What did we advise when you contacted us? ^MI || @211644 Hey Sabyasachi! We'd like to look into this with you. Please contact us by phone/chat here: https://t.co/JzP7hlA23B ^AJ",2.0,2.0,2.0,2.0,0.0,2.0
18,@123813 ¿habrá ya app suya en Apple TV?,"Hola, actualmente no contamos con la información sobre una aplicación para Apple TV. Te sugerimos estar al pendiente de nuestro sitio web para novedades.",True,strong,high,True,False,"@123813 ¿Para cuándo en el Apple TV? 😫 || @123813 Hola, ya tienen app para Apple TV? || @130293 ¿Cuando vais a sacar la app para Apple TV? || @123813 Cuando sale la app para el Apple TV? Saludos || @130293 para cuando la app para el appletv???","@525278 Hola Edgar. Actualmente no contamos con esas informaciones. Te sugerimos estar al pendiente de nuestro sitio para novedades. ^HC || @511591 Hola, actualmente no contamos con el dato. Cualquier novedad se puede ver directamente en el sitio web. ^KS || @320688 Hola, de momento no tenemos esa información, nuestras novedades son anunciadas en nuestro sitio web, sugiero visitarlo.^AZ || @664219 ¡Hola, Xavier! 😃 No contamos con la información solicitada, cualquier novedad o lanzamiento será publicada en nuestra página, te recomiendo estar atento. ^LC || @218352 Hola Jose, te recomendamos estar pendiente de nuestros sitio web y redes sociales para novedades. ^HC",2.0,2.0,2.0,0.0,0.0,
28,sux when you order stuff from amazon prime &amp; you get an email saying “sorry your package wasn’t delivered today” ummm I pay for prime for a reason 🙄,"I'm sorry for the frustration, @customer! Were you provided a reason for the delay or a new delivery date? If not, please let us know so we can assist further. ^ZW",True,strong,high,True,True,"here I go again with delivery issues from @AmazonHelp . Why do I pay for Prime when the stuff won't arrive next day or 2 day as promised??? WHY??? || This is after @AmazonHelp package was supposedly out for delivery this morning, then resent this afternoon. What am I paying for Prime for?! || Amazon: ""Sorry but your package has been delayed"" First of all...I payed for prime || @AmazonHelp Finally received a delivery today. But not all of. Why do I pay for Prime ?!? || @AmazonHelp ""Your package is still on the way but may arrive later than expected. We're sorry for the inconvenience and we'll deliver it as soon as possible."" That's why I chose a Prime item... Why am I paying for prime?!","@667490 I'm sorry for the poor experience! Do you have a current order that is late or delayed that we can help you with? ^ZW || @356790 I'm sorry to hear we've let you down, Sophia! Here's some tips that should help recover the parcel: https://t.co/PbHxXoLZzy ^CS || @670688 I'm sorry for the frustration! Were you provided a reason for delay or a new delivery date? ^AC || @753632 I'm sorry for the trouble with your delivery, Adam. Was the order split into more than one parcel? You can find out here: https://t.co/aaDyEz1VgE. Please let us know! We're here to help. ^TG || @669036 Were you given any cause for the delay, Judah? Please let us know! ^FD",2.0,2.0,2.0,2.0,0.0,
31,"ACORDEI E 2 MINUTOS DEPOIS CHEGARAM OS MEUS LIVROS! 
OBRIGADA @117086","Olá! 😱Ficamos felizes em saber que você já recebeu seus livros! 🎉🎉🎉 Conte para nós, quais deles você vai ler primeiro? ^HC",True,strong,high,True,False,"CHEGARAM TODOS OS MEUS LIVROS DA @117086 !!! https://t.co/kvRFeXMzI0 || Vei, cadê os meus livros que não chegaram até hoje? @117086 || @117086 eu te amo ❤️ meus livros chegam rápido, são baratos e ainda manda descontinho pra compartilhar com os amigos || A @117086 é coisa de louco, encomendei uns livros ontem e já chegaram! || Comprei uns livros essa semana...chegaram rápido e em ótimo estado. @117086 obrigado! 😀","@776885 Olá Roberto! 😱Ficamos felizes demais de saber que você já recebeu o seu pedido!🎉🎉🎉 Conta para gente, qual deles vai ler primeiro? ^HC https://t.co/qeNeONkLti || @299568 Olá! Qual é a data de entrega do seu pedido? ^JJ || @658265 Olá! Saiba que o amor é mútuo. Só o melhor para nossos clientes brasileiros! &lt;3 ^CR || @141419 Olá! Conte para nós, quais livros você comprou?. Ficamos curiosos. 🤔 ^NB || @180544 É porque a gente tenta entregar o mais rápido possível só para te ver feliz! ❤️😍 Compartilha uma foto do pedidido com a gente!^VM https://t.co/PWNB2QFiuD",2.0,2.0,2.0,2.0,0.0,
33,"AE MEU @117634 finalmente chegou, apaixonado demais.

@115821 @117086 https://t.co/xz6foHGT02","Que bom que você finalmente recebeu seu pedido, @117634! Fico feliz em saber que você está apaixonado por ele. ^LG https://t.co/xz6foHGT02",True,strong,high,False,False,"Meu bebê chegou. Obrigado @117086 💙 https://t.co/I3fqrg94Fb || chegou meus livros @115821 te amo || Chegou hoje @117086! Amei ❤❤ Obrigada :) https://t.co/c6M09HBqnb || Gente, a @117086 não está pra brincadeira msm hein! Comprei no dia 11 e já chegou! 👏👏👏👏 https://t.co/ct9meGXTtF || Chegou em menos de 24h! Valeu @117086 https://t.co/b8QWWGblZM","@118707 Que notícia boa, Luiz! Fiquei curioso... O que contém esse pacote? 🤔 ^CR https://t.co/DtVI16kHN1 || @643912 Só amor para você, Sarai 💖 Quais livros você recebeu hoje? ^LG || @321005 Adoramos a fotinho, Leila 😊 Tomara que curta muito da leitura 💕 ^LG || @678736 Nossa!😱 Ficamos felizes de saber que você já recebeu o seu pedido! Me diga, que você comprou?🤔 ^HC https://t.co/Z1Bsog2ZH7 || @625256 Olá Dani! Nossa!😱 Que emoção!😁 Já você começou a leitura? ^HC https://t.co/PN8zbwVbQM",2.0,2.0,2.0,2.0,0.0,
36,@AmazonHelp I have a huge complaint to make... can I be provided with an email address to do so? Thanks,The best way to submit your complaint is through our contact page here: https://t.co/JzP7hlA23B. We'll be able to assist you further once we review your feedback.,True,strong,high,True,True,"@AmazonHelp Can you please supply me with an email address to make a formal complaint? Thanks. || @AmazonHelp I would like an email address to make an official complaint as no one I speak to will let me have one || @AmazonHelp Do you have a dedicated complaint email address outside of the site please || @AmazonHelp Could I get a message please? I’ve got a complaint to make || @AmazonHelp Nope no email, can I have a email address for your customer services or complaints department?","@220654 The link ^AR provided above will allow you to contact us via e-mail as well as phone or chat. ^JO || @672174 Sorry to hear this! What insight was given when you initially contacted us? Was your item shipped by Amazon or a third party seller? We're here to help! If you still would like to contact us by email, you can do so here: https://t.co/JzP7hlA23B ^JY || @740901 The best place to leave any order feedback would be at the link provided by ^NM. By using the link, we can ensure the feedback is escalated to the appropriate team for you. ^TH || @366643 Hi Ant. You can get in touch with us to lodge your complaint via this link: https://t.co/JzP7hlA23B ^DC || @473704 Please contact us directly here: https://t.co/JzP7hlA23B and we can look into the cancellation. ^PK",2.0,2.0,2.0,2.0,0.0,
43,@AmazonHelp why are no items coming up as available for delivery 2mrw on ur website. Is it cos of Black Friday if so that ain’t really my problem. I pay for next day delivery so expect it tbh.,"I'm sorry you're experiencing issues with your next-day delivery. Not all addresses are eligible for next-day delivery. Please check the delivery options available for your address. If you believe you should be eligible, please contact us here: https://t.co/XTqs7lEJGe.",True,strong,high,True,True,"@AmazonHelp I only have one last question, why is there no next day delivery on anything for me? All the one day delivery options say Tuesday. || @AmazonHelp No my point is I am paying extra price for next day delivery but it is 5pm and it has not turned up! || @AmazonHelp All I need is a day and time as I've wasted so much waiting that it's ridiculous. What has been the problem with the delivery anyway? || @AmazonHelp The issue is that I can no longer get items delivered at the weekend, anything I try to order on a Friday won't deliver until Monday. || @AmazonHelp I opted for Monday delivery over Tuesday since I'm going out of town and need the item in time to set up. Now it's not being delivered until the 10th. When I am gone. That page does nothing for me.","@148044 Hi there, I'm sorry you don't seem to have the next day delivery option. Not all addresses are eligible for next day. Please take a look here for more details, https://t.co/XTqs7lEJGe -RD || @361233 Deliveries continue through to 21:00. For feedback, please reach us here: https://t.co/JzP7hlA23B || @364425 I am truly sorry for the wait! Let's reach out to the courier together and discuss further options: https://t.co/JzP7hlA23B ^JZ || @141798 Mhm interesting! We would like to look into this issue in real time. If you could, contact us here: https://t.co/hApLpMlfHN. ^LS || @532788 Have you had a moment to reach out with the link provided earlier? If not, we'd like to look into available options with you.^KB",2.0,2.0,2.0,2.0,0.0,
65,@AmazonHelp order has been out for delivery with Intelcom since Sunday and its Tuesday and they are not answering the phone or replying to emails. I WANT MY ORDER #reallypissed #intel worst courtier,"I understand your frustration with Intelcom's delayed delivery. Could you please provide the latest tracking information so we can check on your order? You can find it on the Amazon tracking page. If you haven't received an update by today, we will contact Intelcom on your behalf.",True,strong,high,True,True,"@AmazonHelp Hey guess what, they didn’t deliver it again. I’m done with amazon until you drop intelcom. Can’t believe you’re still using them with all the reports of terrible service. || @AmazonHelp @116090 3 of my orders STILL haven't arrived after 3 days &amp; go figure, shipping via #Intelcom. I may as well cancel my Prime service! || @AmazonHelp Unfortunately, #Intelcom has terrible tracking that never changes status. All it says is Out for Delivery. || @AmazonHelp Intelcom Express. I couldn't contact them last night since I got home after their operating hours. Sent them an email this morning || @115821 @AmazonHelp your services for deliver have severely declined. #intelcom are a bunch of criminals. your call centre chat is even worse. @115851","@685054 I understand your concern, Greg. We'd like to take a closer look into this with you. When you have the chance, please reach out to us here: https://t.co/Q7Ftz6nj80 ^VB || @178206 I'm sorry for the delay! We'd like to help! What does the latest tracking show for your orders here? https://t.co/PyACxvY8Qo ^TK || @178206 Is the info on the Amazon tracking the same? What is the estimated delivery date of the orders? ^JJ || @119617 Please let us know if you do not receive your order, or an update, today so we may contact the carrier on your behalf. ^WM || @475708 I'm so sorry for any frustration! Without providing account or personal details, could you tell us a bit more about what's going on? Which one of our websites do you use to place orders? For example, https://t.co/nUUp5MLhYl or Amazon.de? ^DG",1.0,1.0,2.0,1.0,0.0,
