conversation_root,brand_tweet_id,author_id,inbound,brand_created_at,brand_response,response_tweet_id,in_response_to_tweet_id,customer_tweet_id,customer_author_id,customer_inbound,customer_text,customer_created_at,split,char_length,word_count,has_context,turn_count,has_url,difficulty_score,candidate_id,selection_reason,golden_example_id,intent,should_escalate,difficulty,annotation_notes,conversation_context
520740,520739,AmazonHelp,False,Sat Dec 02 03:08:00 +0000 2017,"@240213 Hello, Michael. I'm sorry you haven't received order. Please reach out to us using the following link and we'll be glad to investigate: https://t.co/hApLpM3Ejd  ^FJ",,520740.0,520740,240213,True,"@AmazonHelp I received an email stating that my package was delivered but I didn't get it.  It has been over 36 hrs, what steps do I take now to get my product?",2017-12-02 03:01:37+00:00,evaluation,160,32,True,1,False,,268,regular_coverage,1,,,,,"AmazonHelp: @240213 Hello, Michael. I'm sorry you haven't received order. Please reach out to us using the following link and we'll be glad to investigate: https://t.co/hApLpM3Ejd  ^FJ"
2958671,2958670,AmazonHelp,False,Wed Nov 29 19:50:00 +0000 2017,"@816587 Hola Guillermo, por favor verifica las siguientes informaciones: https://t.co/I6Nq7eJoYi .^MB",,2958671.0,2958671,816587,True,"@116875 como puedo hacer para recoger compras en un local ó en un buzón postal, casi nunca estoy en casa.",2017-11-29 19:45:46+00:00,evaluation,105,20,True,1,False,,76,regular_coverage,2,,,,,"AmazonHelp: @816587 Hola Guillermo, por favor verifica las siguientes informaciones: https://t.co/I6Nq7eJoYi .^MB"
1327018,1327016,AmazonHelp,False,Sat Nov 25 21:02:26 +0000 2017,@429613 Plot twist: Marcy is delivering it. 📦 ^ST,1327017,1327018.0,1327018,429613,True,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,2017-11-25 20:46:01+00:00,evaluation,93,14,True,1,True,,289,regular_coverage,3,,,,,"AmazonHelp: @429613 Plot twist: Marcy is delivering it. 📦 ^ST
Customer: @AmazonHelp @429613 strong tweet"
463386,463384,AmazonHelp,False,Fri Dec 01 03:10:25 +0000 2017,"@225146 I'm sorry you haven't received your order yet! We're unable to access your account through Twitter. To report this and for available options, please contact us by phone or chat here: https://t.co/hApLpMlfHN ^LR",,463385.0,463385,225146,True,@AmazonHelp And how the fuck are your delivery people conveniently taking a phot when it really is delivered but there’s never a photo when shit is missing? How the fuck does that work?,2017-12-01 02:56:27+00:00,evaluation,185,33,True,1,False,,325,regular_coverage,4,,,,,"AmazonHelp: @225146 I'm sorry you haven't received your order yet! We're unable to access your account through Twitter. To report this and for available options, please contact us by phone or chat here: https://t.co/hApLpMlfHN ^LR"
101794,101793,AmazonHelp,False,Thu Nov 30 17:33:01 +0000 2017,@138297 We don't have an announcement yet. We will continue to add new content. Keep checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available. ^SU,,101794.0,101794,138297,True,@119625 should bring in @132021 series!! I'm eagerly waiting for that day!!,2017-11-30 17:05:14+00:00,evaluation,75,12,True,1,False,,328,regular_coverage,5,,,,,AmazonHelp: @138297 We don't have an announcement yet. We will continue to add new content. Keep checking https://t.co/FYM9PIZOR8 where we highlight the latest movies and TV shows we have available. ^SU
478635,478634,AmazonHelp,False,Fri Dec 01 12:20:00 +0000 2017,@224352 That was unexpected and we apologize. Allow our support team to help you. Please reach out to them here: https://t.co/rS49hgaADF so that they can assist you accordingly. ^BV,,478635.0,478635,224352,True,"@115850, i have always appropriated you for your service so I thought I should also inform you for people spoling you name. Delivery person in Jaipur is so unprofessional. No senses how to behave with customer. Wasted my whole day in waiting.not tolerable. Take action.",2017-12-01 11:57:28+00:00,evaluation,269,45,True,1,False,,573,regular_coverage,6,,,,,AmazonHelp: @224352 That was unexpected and we apologize. Allow our support team to help you. Please reach out to them here: https://t.co/rS49hgaADF so that they can assist you accordingly. ^BV
2858236,2858234,AmazonHelp,False,Mon Nov 27 21:48:33 +0000 2017,"@794329 Oh no! Without giving account details, please tell us more about what is going on. Have you received any e-mails from us regarding your locked account? ^BE",2858235,2858236.0,2858236,794329,True,"@115830 my question is, why have you locked my account and refuse to let me in?????????????????????",2017-11-27 21:45:17+00:00,evaluation,99,16,True,1,False,,548,regular_coverage,7,,,,,"AmazonHelp: @794329 Oh no! Without giving account details, please tell us more about what is going on. Have you received any e-mails from us regarding your locked account? ^BE
Customer: @AmazonHelp DM"
2925499,2925498,AmazonHelp,False,Wed Nov 29 03:41:43 +0000 2017,@809464 Hola Johan. ¡Se ven buenísimos! ¡Que los disfrutes mucho! ^JJ,,2925499.0,2925499,809464,True,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",2017-11-29 03:39:05+00:00,evaluation,76,10,True,1,True,,19,regular_coverage,8,,,,,AmazonHelp: @809464 Hola Johan. ¡Se ven buenísimos! ¡Que los disfrutes mucho! ^JJ
560625,560622,AmazonHelp,False,Sat Dec 02 22:28:56 +0000 2017,"@251156 Diane, I'm making sure this fine customer receives merchandise for that quirky town, Twin Peaks. Perhaps I should increase my coffee consumption for a guaranteed successful arrival. ^FD","560623,560624",560625.0,560625,251156,True,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,2017-12-02 22:20:57+00:00,evaluation,217,35,True,1,True,,442,regular_coverage,9,,,,,"AmazonHelp: @251156 Diane, I'm making sure this fine customer receives merchandise for that quirky town, Twin Peaks. Perhaps I should increase my coffee consumption for a guaranteed successful arrival. ^FD
Customer: @AmazonHelp Aces https://t.co/7SdlsTWuFx
Customer: @AmazonHelp @251156 That’s pretty fantastic. In-character customer service."
2663994,2663993,AmazonHelp,False,Sun Nov 26 22:16:33 +0000 2017,@750668 I'm sorry about this. We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: https://t.co/hApLpMlfHN We'd like to help! ^ZW,,2663994.0,2663994,750668,True,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",2017-11-26 22:09:34+00:00,evaluation,164,26,True,1,False,,278,regular_coverage,10,,,,,AmazonHelp: @750668 I'm sorry about this. We want to be sure you are receiving your parcels when they are expected. Please reach out to us directly here so that we can take a look into this for you: https://t.co/hApLpMlfHN We'd like to help! ^ZW
