golden_example_id,customer_message,gold_intent,predicted_intent,intent_correct,intent_source,intent_confidence_band,intent_margin,retrieval_top_score,grounded,evidence_quality,actionability,best_evidence_rank,draft_response,needs_more_information,should_escalate,escalation_reason,human_should_escalate
3,When I get the @115821 notification the my orders are out on delivery https://t.co/M5NHmekgsF,delivery_status,delivery_problem,False,minilm,low,0.04236292839050293,0.8430906534194946,True,strong,high,1,I'm sorry you haven't received your order yet! Could you please provide the carrier information so we can look into this further?,True,True,intent classification is ambiguous; additional customer information is required,False
8,"Ya llegaron 
@108134  te amo 
@116875 también te amo https://t.co/MzSG8woPll",returns_replacements,returns_replacements,True,minilm,high,0.13687777519226074,0.8066431879997253,True,strong,high,1,¡También te amamos! ¿Recibiste este producto hoy? ^ES,False,False,"clear intent, strong historical evidence, and grounded response",False
9,Me on #Dec5th stalking the mailman for my #TwinPeaks #BluRay. It happens every time I order my Peaks merch from @115821 Prime.  I hope the good mailman/lady is on our route on Tuesday!   @25701 https://t.co/mzMnAyYqav,delivery_problem,delivery_problem,True,minilm,low,0.03541862964630127,0.6405372619628906,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
10,"@115821 Whenever the shipping carrier is you I don't get my package correctly... How do I resolve? Still haven't received my package that was ""delivered"" yesterday.",delivery_problem,delivery_problem,True,minilm,high,0.13347572088241577,0.8091578483581543,True,strong,high,1,"Oh no! I'm sorry you're having trouble with your order. To help us look into this, could you please provide your order number and the name of the carrier handling your shipment? You can find this information on the tracking page: https://t.co/Y5jpI9gRhE ^NN",True,True,additional customer information is required,False
11,"@120533 @AmazonHelp hey, vous avez un sav téléphonique au top... L'agent me dit clairement que mon compte est bloqué et même en refaisant un nouveau, sa sera pareil et m'invite à ne plus venir acheter chez Amazon... La classe, @131800 j'arrive...",returns_replacements,returns_replacements,True,minilm,low,0.01064389944076538,0.7365224957466125,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
13,NOT happy @115830 . Very poor from delivery driver.  Good thing I have time to return this before Christmas! 😠 #furious https://t.co/qAifMnazL0,refund_issue,refund_issue,True,minilm,high,0.14801812171936035,0.7860480546951294,True,strong,high,1,I'm sorry to hear about your experience with the delivery driver. Could you please provide more details about the issue so we can assist you further? You can contact us via phone or chat here: https://t.co/JzP7hlA23B. ^RL,True,True,additional customer information is required,False
14,"Amazon fue mi aliado en las compras navideñas de bae✨💖

Te amo @116875",returns_replacements,returns_replacements,True,minilm,low,0.008740842342376709,0.8313273191452026,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
16,Hey @115850 when will be @118062 's reputation magazines available in Stock?,preorder_issue,preorder_issue,True,minilm,high,0.5158407092094421,0.7656539082527161,True,moderate,medium,1,,True,True,historical evidence is not strong enough; additional customer information is required,False
17,"Caro @120540 , io ti voglio bene e lo puoi capire anche dallo  storico dei miei ordini... 

PERÒ...

NON PUOI SCRIVERE ""SPEDIZIONE 1 GIORNO"" E POI ME LO FAI ARRIVARE LA SETTIMANA DOPO",delivery_status,delivery_status,True,minilm,medium,0.06444001197814941,0.7394379377365112,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
19,Habe von meinen Freunden einfach n Amazon Echo bekommen. Richtig NICE,delivery_status,digital_product_support,False,minilm,low,0.03804361820220947,0.6738835573196411,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
20,"Listening to Winter Song by Sara Bareilles &amp; Ingrid Michaelson, on the album: The Hotel Café presents... Winter Songs - Thanks @115833",refund_issue,refund_issue,True,minilm,high,0.1134023517370224,0.4482411742210388,True,weak,low,5,,True,True,historical evidence is not strong enough; additional customer information is required,False
25,"Me da a mi que el repartidor va a dar muchas vueltas para encontrar el domicilio... 🤔 (la 4ª vez que me pasa lo mismo en menos de un mes, y siempre con #AmazonLogistics, muy mal -_-) @116928 https://t.co/ADKLviw72S",delivery_problem,returns_replacements,False,minilm,low,0.048261940479278564,0.6882606744766235,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
26,"I live in Tehran, Iran and want to shop at @115821. How can you help @AmazonHelp?",delivery_problem,order_issue,False,minilm,low,0.016800761222839355,0.6836150884628296,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
31,"ACORDEI E 2 MINUTOS DEPOIS CHEGARAM OS MEUS LIVROS! 
OBRIGADA @117086",returns_replacements,delivery_status,False,minilm,low,0.0153656005859375,0.7630955576896667,True,strong,high,1,"Olá! 😱Ficamos felizes em saber que você já recebeu seus livros! 🎉🎉🎉 Conte para nós, quais deles você vai ler primeiro? ^HC",False,True,intent classification is ambiguous,False
33,"AE MEU @117634 finalmente chegou, apaixonado demais.

@115821 @117086 https://t.co/xz6foHGT02",returns_replacements,returns_replacements,True,minilm,high,0.11390268802642822,0.7610464096069336,True,strong,high,1,"Que bom que você finalmente recebeu seu pedido, @117634! Fico feliz em saber que você está apaixonado por ele. ^LG https://t.co/xz6foHGT02",False,False,"clear intent, strong historical evidence, and grounded response",False
35,"@117795 Hello we do not have dutch subtitles on downtown abbey season 6 episode 3, can you help please.",prime_membership,returns_replacements,False,minilm,low,0.0051971375942230225,0.6526010036468506,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
36,@AmazonHelp I have a huge complaint to make... can I be provided with an email address to do so? Thanks,prime_membership,order_issue,False,minilm,medium,0.06076091527938843,0.902427852153778,True,strong,high,1,The best way to submit your complaint is through our contact page here: https://t.co/JzP7hlA23B. We'll be able to assist you further once we review your feedback.,True,True,intent classification has moderate uncertainty; additional customer information is required,True
37,"Hey @115821 @AmazonHelp I ordered these https://t.co/ZvfV12VeeX  and I got 11 not 12, fix it",order_issue,order_issue,True,minilm,high,0.13623738288879395,0.6762611865997314,True,moderate,medium,2,,True,True,historical evidence is not strong enough; additional customer information is required,False
39,@AmazonHelp I haven't received my Prime one day order yet and it's way past the delivery timeline. What do I do now?,delivery_status,delivery_problem,False,minilm,medium,0.09805017709732056,0.8837598562240601,True,moderate,medium,2,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
40,@117634 hey folks how are we supposed to use the table of contents? Can't read this. What am I missing? Thanks! https://t.co/Ugq0Tjr1br,digital_product_support,refund_issue,False,minilm,low,0.0064916908740997314,0.5432136058807373,True,weak,low,5,,True,True,historical evidence is not strong enough; intent classification is ambiguous; additional customer information is required,False
41,I thought Amazon Prime was 2-day delivery....why is everything taking 3-6 days lately?,delivery_problem,prime_membership,False,rule,high,1.0,0.8842897415161133,True,strong,high,1,"We're sorry to hear about the delays, @AmazonCustomer. One Day Shipping refers to transit time after an order is shipped. If you placed your order with One-Day Delivery, it should be dispatched the same day and delivered the next day. However, some orders may take extra processing time. Could you please provide your order number so we can check the status?",True,True,additional customer information is required,False
42,"devono arrivarmi le cuffiette da amazon.
quanto ci scomettiamo che il corriere arriva nell’unica mezz’ora in cui non c’è nessuno a casa?",delivery_status,delivery_status,True,minilm,medium,0.09020659327507019,0.7131947875022888,True,weak,low,1,,True,True,historical evidence is not strong enough; intent classification has moderate uncertainty; additional customer information is required,False
43,@AmazonHelp why are no items coming up as available for delivery 2mrw on ur website. Is it cos of Black Friday if so that ain’t really my problem. I pay for next day delivery so expect it tbh.,delivery_problem,delivery_problem,True,rule,high,1.0,0.7443028688430786,True,strong,high,1,"I'm sorry you're experiencing issues with your next-day delivery. Not all addresses are eligible for next-day delivery. Please check the delivery options available for your address. If you believe you should be eligible, please contact us here: https://t.co/XTqs7lEJGe.",True,True,additional customer information is required,False
44,@115830 why are all the prime delivery options available to be recently are around 2-3 days? What’s happened to one day delivery I signed up for?,delivery_problem,delivery_problem,True,minilm,high,0.18809831142425537,0.8632197976112366,True,strong,high,3,I'm sorry for the wait! One Day Shipping refers to transit time in delivery days after an order's already shipped. Some items may require additional processing time before they can be shipped. Have we missed the date provided to you in your confirmation email?,True,True,additional customer information is required,False
